N_txt,type,text
1,real,"Donna is the original creator of the fundraiser in Sandusky called The Witches Walk. The even raises money for local charities. I have also been involved in this fundraiser since the beginning. After moving away, it seemed like I was less a part of it. Last year, however; Donna called me up and asked me to help her out. As I am facing medical issues I was concerned about how I would be able to walk around the event. She came up with a plan and she got a golf cart for me to ride in adorned with a huge witch hat on the top of it."
1,img,Jody and I were at the mall in New Orleans shopping for souvenirs. As we walked through the mall we saw a ticket booth that offered Buy One Get One Free on tickets to the Mardi Gras Museum down the road. We had been talking about going to see the museum so the idea of BOGO really appealed to us. We decided to purchase our tickets right then and there. The next bus tour was leaving the mall in 15 minutes so we decided we'd go ahead and get on that tour. We went on the Mardi Gras Museum tour and had a blast.
2,real,"Candace and I sat down next to a tree. We had brought a basket of food because it was a nice day out. In the basket were sandwiches and a couple bottles of tea. We ate the sandwiches while talking about what was happening in our lives. After we finished our meal, we cleaned up and sat next to the tree. We continued to talk, not noticing the time passing. Then during a brief pause, something unexpected happened. Candace leaned in to kiss me. I felt foolish for not realizing before she felt this way. I kissed her back as we sat under the tree."
2,img,I walked up to Jill when she was sitting at her desk at home. I asked her what she was doing. She said she was working on a project. I looked at the desk and saw she was putting a model air plane together. She had paint brushes and paint with her. She was clipping pieces off the runner and snapping them together. I ask her how long she had been working on it. Jill said she started the project a few days ago. I sat down to watch as she continued to work on the model.
3,real,"XT sit on the chair in the office and worked on her project. When I walked into the office, XT asked whether we could have a discussion about the manuscript that needed to be revised. I agreed. XT presented all the reviewers' comment and we started to go through. The reviewers' comments were huge and some were very hard to reply to. Other co-authors on the paper also joined in our discussion. After one hour, we got to agree that the paper should be accepted for publication given all comments could be addressed."
3,img,"Last month, XL visited Quanzhou where I worked. He called me before his arrival and I picked him up at the airport. There was nothing to do after an enjoyable dinner with XL. We discussed what we could do in the evening. It seemed that we did not watch a movie for a long time. We checked the movie list that we could watch at that time. After research online, we found that the Mulan III was a new release and it was a legend. We then went to the cinema."
4,real,"Ariel entered the museum on a hot, Russian day and bolted towards the sculpture section. She recalled that there had been a specific one here, one that was in all of the tourist books and that her professor mentioned all the time in class. When she got to the section, she scanned the room and gasped. There in front of her was 'Crouching Boy' by Michelangelo, a piece she never thought she'd get to see. She stared in wonder for a few moments before pulling out her camera and snapping a few pictures of the glorious figure."
4,img,"Marylin quickly tried to get across the barricades before the parade came, as otherwise, she would have been stuck inside the city, and the parade route, for the entire rest of the day. When she saw they were all closed, she sighed and resigned herself to a nearby cafe, pulling out her computer and slumping into a nearby chair as she went to order herself a coffee. The parade had just began to roll outside as she clicked furiously on her keys, trying to drown out the sounds of people yelling while she attempted to do her work."
5,real,"We walked down the stairs together. Dick said this was his favorite kind and nearly impossible to get. He is super impressed that I was able to get a bottle, even though I have never tried it. He says he will open it so I can try it. He will have some with me but then close it up and put it away,until he can find some more somewhere else. He opens the bottle and pours us each a small amount. I sip and agree that it is very good. He laughs and puts the top back on. He thanks me again and puts the bottle in the cabinet."
5,img,"Sue and I were out on the boat by ourselves in the afternoon when our husbands were at work. We had the dogs with us and let them swim beside the boat. Both had their life jackets on so we were able to lift them back into the boat. As Sue leaned over to lift her dog from the water, her necklace fell from her neck into the river. She grabbed at her neck but it was too late. The necklace was gone. She had tears in her eyes as she told me she'd been having problems with the clasp but though it was fixed."
